match_text,category,owner,priority,notes,clean_name
Sta Isabel Huechu,Supermercado,Compartido,1,Entrenamiento manual,Sta Isabel Huechu
C. Verde P Fontob,Salud,Confirmar,1,Entrenamiento manual,C. Verde P Fontob
Lider Express Pedro Fontova,Supermercado,Compartido,1,Entrenamiento manual,Lider Express Pedro Fontova
Mercadopago*Comer,Mercado Pago,Confirmar,1,Entrenamiento manual,Mercadopago*Comer
Spid Los Leones,Minimarket,Personal,1,Entrenamiento manual,Spid Los Leones
04911804 Abono Por Transferencia De Vanessa Carolina,Ingresos,Personal,1,Entrenamiento manual,04911804 Abono Por Transferencia De Vanessa Carolina
"Abono Por Pago Proveedores Via Cca, 38.000,00",Ingresos,Personal,1,Entrenamiento manual,"Abono Por Pago Proveedores Via Cca, 38.000,00"
42535275 Cargo Por Abono/Pago De Tarjeta De Crédito,Ingresos,Personal,1,Entrenamiento manual,42535275 Cargo Por Abono/Pago De Tarjeta De Crédito
Cargo Por Abono/Pago De Tarjeta De Crédito,Ingresos,Personal,1,Entrenamiento manual,Cargo Por Abono/Pago De Tarjeta De Crédito
14274826 Abono Por Transferencia De Vanessa Carolina,Ingresos,Personal,1,Entrenamiento manual,14274826 Abono Por Transferencia De Vanessa Carolina
"Abono Por Pago Proveedores Via Cca,",Ingresos,Personal,1,Entrenamiento manual,"Abono Por Pago Proveedores Via Cca,"
"Abono Por Pago Remuneraciones Via Cca,",Ingresos,Personal,1,Entrenamiento manual,"Abono Por Pago Remuneraciones Via Cca,"
"Abono Realizado Us$-47,50 Período Facturado Hasta 03/09/",Ingresos,Personal,1,Entrenamiento manual,"Abono Realizado Us$-47,50 Período Facturado Hasta 03/09/"
12397759 Transferencia De Hernan Brito Rodriguez Rut,Pago cuota casa,Personal,1,Entrenamiento manual,
Tuu*369 Barber St,Gustitos,Personal,1,Entrenamiento manual,Barbería Strip Center cercano
"Cargo Por Comisión Adm. Mensual Checkcard . 7.292,00",Gastos Bancarios,Personal,1,Entrenamiento manual,
13541255 Transferencia De Hernan Javier Brito,Mercado Pago,Personal,1,Entrenamiento manual,
Aramco,Combustible,Personal,1,Entrenamiento manual,
15/08/26 1508 00000000 Monto Cancelado $-908.366 $-908.366 01/01 $-,Gastos Bancarios,Personal,1,Entrenamiento manual,
11/08/26 1208 70961167 Comision Compra Internacional,Gastos Bancarios,Personal,1,Entrenamiento manual,
"18/08/26 1808 00000000 Impuesto Decreto Ley 3475 Tasa 0,066 %",Gastos Bancarios,Personal,1,Entrenamiento manual,
01/09/26 0109 25244109 Comision Compra Internacional,Gastos Bancarios,Personal,1,Entrenamiento manual,
02/09/26 0309 88195803 Comision Compra Internacional,Gastos Bancarios,Personal,1,Entrenamiento manual,
03/09/26 0309 00000000 Intereses Rotativos,Gastos Bancarios,Personal,1,Entrenamiento manual,
"Pagar Hasta Monto Facturado Pagar Hasta Monto Facturado 21/09/2026 Us$44,53 21/09/2026 Us",Gastos Bancarios,Personal,1,Entrenamiento manual,
"Saldo Anterior Facturado Us$ 47,50 Período Facturado",Gastos Bancarios,Personal,1,Entrenamiento manual,
